state,district,month,age_0_5,age_5_17,age_18_plus,total
Delhi,South Delhi,2025-09,0,10769,14684,25453
Delhi,South Delhi,2025-10,0,6569,11125,17694
Delhi,South Delhi,2025-11,0,7772,10585,18357
Delhi,South Delhi,2025-12,0,8456,9700,18156
Delhi,South Delhi,2026-01,0,1283,1222,2505
Delhi,South East Delhi,2025-03,0,19,40,59
Delhi,South East Delhi,2025-04,0,58,61,119
Delhi,South East Delhi,2025-05,0,54,70,124
Delhi,South East Delhi,2025-06,0,51,115,166
Delhi,South East Delhi,2025-07,0,59,170,229
Delhi,South East Delhi,2025-08,0,21,40,61
Delhi,South East Delhi,2025-09,0,36,118,154
Delhi,South East Delhi,2025-10,0,27,136,163
Delhi,South East Delhi,2025-11,0,13,65,78
Delhi,South East Delhi,2025-12,0,8,114,122
Delhi,South East Delhi,2026-01,0,0,3,3
Delhi,South West Delhi,2025-03,0,6977,9969,16946
Delhi,South West Delhi,2025-04,0,13990,13530,27520
Delhi,South West Delhi,2025-05,0,11468,14753,26221
Delhi,South West Delhi,2025-06,0,6117,10252,16369
Delhi,South West Delhi,2025-07,0,5873,10336,16209
Delhi,South West Delhi,2025-08,0,6185,8998,15183
Delhi,South West Delhi,2025-09,0,8928,9911,18839
Delhi,South West Delhi,2025-10,0,4471,7076,11547
Delhi,South West Delhi,2025-11,0,4714,6338,11052
Delhi,South West Delhi,2025-12,0,8065,7544,15609
Delhi,South West Delhi,2026-01,0,1169,905,2074
Delhi,West Delhi,2025-03,0,14994,26620,41614
Delhi,West Delhi,2025-04,0,23695,34601,58296
Delhi,West Delhi,2025-05,0,8548,15718,24266
Delhi,West Delhi,2025-06,0,6340,12340,18680
Delhi,West Delhi,2025-07,0,6422,12267,18689
Delhi,West Delhi,2025-08,0,6560,11680,18240
Delhi,West Delhi,2025-09,0,9405,13275,22680
Delhi,West Delhi,2025-10,0,4284,7182,11466
Delhi,West Delhi,2025-11,0,5106,7395,12501
Delhi,West Delhi,2025-12,0,10046,9927,19973
Delhi,West Delhi,2026-01,0,914,898,1812
Maharashtra,Ahilyanagar,2025-05,0,2,24,26
Maharashtra,Ahilyanagar,2025-06,0,5,76,81
Maharashtra,Ahilyanagar,2025-07,0,12,113,125
Maharashtra,Ahilyanagar,2025-08,0,3,80,83
Maharashtra,Ahilyanagar,2025-09,0,14,85,99
Maharashtra,Ahilyanagar,2025-10,0,14,111,125
Maharashtra,Ahilyanagar,2025-11,0,19,299,318
Maharashtra,Ahilyanagar,2025-12,0,88,1216,1304
Maharashtra,Ahilyanagar,2026-01,0,0,10,10
Maharashtra,Ahmadnagar,2025-03,0,6261,18017,24278
Maharashtra,Ahmadnagar,2025-04,0,6360,13604,19964
Maharashtra,Ahmadnagar,2025-05,0,14967,30405,45372
Maharashtra,Ahmadnagar,2025-06,0,10907,25170,36077
Maharashtra,Ahmadnagar,2025-07,0,13406,25390,38796
Maharashtra,Ahmadnagar,2025-08,0,9309,17152,26461
Maharashtra,Ahmadnagar,2025-09,0,65071,19730,84801
Maharashtra,Ahmadnagar,2025-10,0,24937,32549,57486
Maharashtra,Ahmadnagar,2025-11,0,24795,36485,61280
Maharashtra,Ahmadnagar,2025-12,0,15936,20375,36311
Maharashtra,Ahmadnagar,2026-01,0,2110,2570,4680
Maharashtra,Ahmed Nagar,2025-03,0,15,170,185
Maharashtra,Ahmed Nagar,2025-04,0,12,145,157
Maharashtra,Ahmed Nagar,2025-05,0,92,665,757
Maharashtra,Ahmed Nagar,2025-06,0,97,991,1088
Maharashtra,Ahmed Nagar,2025-07,0,103,960,1063
Maharashtra,Ahmed Nagar,2025-08,0,86,662,748
Maharashtra,Ahmed Nagar,2025-09,0,754,667,1421
Maharashtra,Ahmed Nagar,2025-10,0,307,1426,1733
Maharashtra,Ahmed Nagar,2025-11,0,234,1932,2166
Maharashtra,Ahmed Nagar,2025-12,0,103,943,1046
Maharashtra,Ahmed Nagar,2026-01,0,14,91,105
Maharashtra,Akola,2025-03,0,4358,15080,19438
Maharashtra,Akola,2025-04,0,3914,12689,16603
Maharashtra,Akola,2025-05,0,5833,18239,24072
Maharashtra,Akola,2025-06,0,6183,16866,23049
Maharashtra,Akola,2025-07,0,5911,13761,19672
Maharashtra,Akola,2025-08,0,3287,7741,11028
Maharashtra,Akola,2025-09,0,15063,12715,27778
Maharashtra,Akola,2025-10,0,5556,21725,27281
Maharashtra,Akola,2025-11,0,6466,24761,31227
Maharashtra,Akola,2025-12,0,4289,8230,12519
Maharashtra,Akola,2026-01,0,831,1527,2358
Maharashtra,Amravati,2025-03,0,7429,24319,31748
Maharashtra,Amravati,2025-04,0,3956,13563,17519
Maharashtra,Amravati,2025-05,0,11103,34078,45181
Maharashtra,Amravati,2025-06,0,10979,28841,39820
Maharashtra,Amravati,2025-07,0,10997,27755,38752
Maharashtra,Amravati,2025-08,0,5253,15934,21187
Maharashtra,Amravati,2025-09,0,31297,21191,52488
Maharashtra,Amravati,2025-10,0,10328,36596,46924
Maharashtra,Amravati,2025-11,0,16070,41898,57968
Maharashtra,Amravati,2025-12,0,7637,17879,25516
Maharashtra,Amravati,2026-01,0,860,2548,3408
Maharashtra,Aurangabad,2025-03,0,10854,20108,30962
